C_num,UB,User_gender,Text,Sentiment
7,0,2,To pair the green stickers perform the following moves: l	'	u	l	u	',-0.61
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You'll be able to solve a Rubik's Cube in no time!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 5",1.0
7,0,2,Level: 5,0.99
7,0,2,"In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross",1.0
7,0,2,"Right now, the green sticker is on the down face and the white piece is on the front face",-0.98
7,0,2,The following moves will teach you how to get the edge piece into place: d	r	f	'	r	',1.0
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,Great job!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 6",1.0
7,0,2,Level: 6,0.99
7,0,2,"In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face",-0.98
7,0,2,"To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u",0.99
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You're learning so quickly!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 7",1.0
7,0,2,Level: 7,0.99
7,0,2,"For level 7, the green sticker of the white-green edge is on the up face and the white sticker is on the back face",-0.98
7,0,2,We want to pair the green sticker with the green centerpiece so we will perform the following moves: b	u	l	u	',-0.99
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,Great job!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 8",1.0
7,0,2,Level: 8,0.99
7,0,2,"When we're finished with level 8, the white and green stickers of the white-green edge piece will be paired with their centerpieces",0.99
7,0,2,"Right now, the green sticker is on the down face and the white sticker is on the back face",-0.98
7,0,2,"There are two different ways to handle this level, so feel free to go through it multiple times",-0.88
7,0,2,"To put the edge piece in place for this cube configuration, we can use the following moves: d	l	'	f	l",-0.92
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You're doing awesome!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 8",1.0
7,0,2,Level: 8,0.99
7,0,2,"When we're finished with level 8, the white and green stickers of the white-green edge piece will be paired with their centerpieces",0.99
7,0,2,"Right now, the green sticker is on the down face and the white sticker is on the back face",-0.98
7,0,2,"There are two different ways to handle this level, so feel free to go through it multiple times",-0.88
7,0,2,"To put the edge piece in place for this cube configuration, we can use the following moves: d	l	'	f	l",-0.92
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You're doing awesome!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 9",1.0
7,0,2,Level: 9,0.99
7,0,2,"On our final level, we will pair the green sticker of the white-green edge with the green centerpiece",0.97
7,0,2,"Currently, the green sticker is on the back face and the white sticker is on the up face",-0.98
7,0,2,We will put the edge in place by completing these moves: b	u	l	l	u	',1.0
7,0,2,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",1.0
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You're doing awesome!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 9",1.0
7,0,2,Level: 9,0.99
7,0,2,"On our final level, we will pair the green sticker of the white-green edge with the green centerpiece",0.97
7,0,2,"Currently, the green sticker is on the back face and the white sticker is on the up face",-0.98
7,0,2,We will put the edge in place by completing these moves: b	u	l	l	u	',1.0
7,0,2,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",1.0
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You're doing awesome!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 1",1.0
7,0,2,Level: 1,1.0
7,0,2,"In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too",-0.99
7,0,2,Turn the front face until the white-green edge piece completes the White Cross.,0.87
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,Great job!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 7",1.0
7,0,2,Level: 7,0.99
7,0,2,"For level 7, the green sticker of the white-green edge is on the up face and the white sticker is on the back face",-0.98
7,0,2,We want to pair the green sticker with the green centerpiece so we will perform the following moves: b	u	l	u	',-0.99
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, level 6",1.0
7,0,2,Level: 6,0.99
7,0,2,"In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face",-0.98
7,0,2,"To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u",0.99
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, level 4",1.0
7,0,2,Level: 4,0.99
7,0,2,"To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired",-0.99
7,0,2,"Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times",-0.99
7,0,2,To pair the green stickers perform the following moves: l	'	u	l	u	',-0.61
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, level 3",1.0
7,0,2,Level: 3,0.99
7,0,2,"For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece",-0.98
7,0,2,The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face,-0.99
7,0,2,To pair the green stickers perform: r	',-0.97
7,0,2,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",1.0
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You're learning so quickly!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 5",1.0
7,0,2,Level: 5,0.99
7,0,2,"In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross",1.0
7,0,2,"Right now, the green sticker is on the down face and the white piece is on the front face",-0.98
7,0,2,The following moves will teach you how to get the edge piece into place: d	r	f	'	r	',1.0
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,Nice job!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 5",1.0
7,0,2,Level: 5,0.99
7,0,2,"In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross",1.0
7,0,2,"Right now, the green sticker is on the down face and the white piece is on the front face",-0.98
7,0,2,The following moves will teach you how to get the edge piece into place: d	r	f	'	r	',1.0
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You'll be able to solve a Rubik's Cube in no time!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
7,1,2,"Hey girl, level 2",1.0
7,0,2,Level: 2,0.99
7,0,2,"In level two, we want the green sticker of the white-green edge to pair with the green centerpiece",-0.92
7,0,2,"Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match.",-0.99
7,0,2,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",1.0
7,0,2,Click solve whenever you are ready,-0.95
7,1,2,"Hey girl, Solve",1.0
7,0,2,Watch the cube to see the moves being performed.,1.0
7,0,2,You're doing awesome!,1.0
7,0,2,Choose another level or repeat this one:,-1.0
8,0,1,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube.",1.0
8,0,1,Today we'll learn the different moves you need to know to solve the white cross.,1.0
8,0,1, Would you like to hear more about the white cross and how we will learn the moves?,1.0
8,1,1,"Hey boy, Yes",1.0
8,0,1,Let's talk about the white cross!,1.0
8,0,1," First, what does the white cross even look like? On the UP face, the white cross will have the white centerpiece with the white edge pieces forming the cross. It is also important that color stickers of the white edge pieces are paired with their matching color centerpieces.",0.99
8,0,1, We can see an example of the white cross below.,0.84
8,0,1,,0.95
8,0,1,"Today, I'll teach you the moves to solve the white cross by focusing on putting the white-green edge piece in its correct place. By learning these moves for the white-green edge piece, you can apply them to the other white edge pieces and solve the white cross.",1.0
8,1,1,"Hey boy, Continue",1.0
8,0,1,We've broken the moves you need to know into different levels which will gradually increase in complexity.,0.98
8,0,1," In each level, I'll guide you through finding the white-green edge piece and how you can move it to put it in place.",1.0
8,0,1," To see the move performed on the virtual cube, just type in 'Solve'.",-0.97
8,0,1,Awesome! Go ahead and pick a level to start learning:,1.0
8,1,1,"Hey boy, Level 1",1.0
8,0,1,Level: 1,1.0
8,0,1,"In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too",-0.99
8,0,1,Turn the front face until the white-green edge piece completes the White Cross.,0.87
8,1,1,"Hey boy, solve",1.0
8,0,1,Watch the cube to see the moves being performed.,1.0
8,0,1,You're learning so quickly!,1.0
8,0,1,Choose another level or repeat this one:,-1.0
8,1,1,"Hey boy, lEvel 2",1.0
8,0,1,Level: 2,0.99
8,0,1,"In level two, we want the green sticker of the white-green edge to pair with the green centerpiece",-0.92
8,0,1,"Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match.",-0.99
8,0,1,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",1.0
8,1,1,"Hey boy, solvE",1.0
8,0,1,Watch the cube to see the moves being performed.,1.0
8,0,1,You'll be able to solve a Rubik's Cube in no time!,1.0
8,0,1,Choose another level or repeat this one:,-1.0
8,1,1,"Hey boy, level 4",1.0
8,0,1,Level: 4,0.99
8,0,1,"To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired",-0.99
8,0,1,"Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times",-0.99
